Date: 2026-01-15T09:52:36Z
Duration: 202m 52s

[00:00-00:00] Speaker 0:  Ну как ты?
[55:35-55:37] Speaker 0:  Женя, смотришь, вот эту дорожку.
[55:38-55:41] Speaker 0:  И озвучиваешь больше всего того, чего боишься.
[55:41-55:46] Speaker 0:  Где есть самые сложные уставные моменты, которые тебя отделяют от этого адреса к точке А. Вот.
[55:46-55:49] Speaker 0:  И озвучиваешь то, что больше всего беспокоит.
[55:50-55:51] Speaker 0:  Какие задачи предстоит решить?
[55:52-56:01] Speaker 0:  Все, итак, три таких больших точки: внимание: Что хочу, что сейчас и что нас решает, или какими задачи предстоит решить наиболее важные и наиболее чем мы на этом пути.
[56:01-56:03] Speaker 0:  Понятно ли, что мы делаем дальше, ребята?
[56:06-56:09] Speaker 0:  И это для нас, для меня, для романа.
[56:09-56:12] Speaker 0:  Дальше, для нас это будет так называемым тренером.
[56:12-56:16] Speaker 0:  где вас будет мониторить стран, то есть помогать дать вам реально достижение этой задачи.
